transaction_id,imsi,subscriber_id,tac,snr,imei,cell,lac,event_type,event_ts
55,726862216,39845,96787635,286061,96787635286061,7826,19,2,2020-12-22 06:52:00
56,698885889,37795,70907196,243501,70907196243501,8509,34,2,2020-12-03 17:58:00
57,656592678,22083,96074142,237694,96074142237694,3803,29,5,2020-12-28 18:09:00
58,738433789,39997,-99999,-99999,,3912,74,6,2020-12-07 08:08:00
59,568311040,80658,47532387,704499,47532387704499,1571,12,3,2020-12-05 20:57:00
60,185289617,81573,16520390,468037,16520390468037,8445,51,5,2020-12-26 13:07:00
61,645205412,48809,43217501,171058,43217501171058,7887,16,7,2020-12-25 02:29:00
62,870080743,70446,58593050,311066,58593050311066,3032,74,9,2020-12-21 22:32:00
63,376533002,56336,55564650,150504,55564650150504,8466,29,7,2020-12-25 17:12:00
64,563515095,55718,96514362,624978,96514362624978,7875,32,2,2020-12-11 20:26:00
65,768169354,25957,45234467,979255,45234467979255,4093,83,8,2020-12-10 07:49:00
66,179681542,23731,-99999,-99999,,6275,87,2,2020-12-03 13:35:00
67,672059394,89583,21462625,634472,21462625634472,8523,57,7,2020-12-19 02:36:00
68,479226452,23006,17039919,826879,17039919826879,1758,77,4,2020-12-22 04:56:00
69,594968337,68812,88655446,894768,88655446894768,6871,91,8,2020-12-10 03:43:00
71,852526036,23938,88623566,972849,88623566972849,5773,93,2,2020-12-31 06:35:00
72,749481290,68788,13505465,262650,13505465262650,7751,65,4,2020-12-06 11:23:00
73,307981288,75885,28004745,810677,28004745810677,3948,54,9,2020-12-20 04:23:00
74,629248496,20446,28845117,595902,28845117595902,1190,24,7,2020-12-14 21:54:00
75,465740306,26182,12394180,737310,12394180737310,9411,54,5,2020-12-23 23:49:00
76,483502409,61159,52680550,811270,52680550811270,4749,97,4,2020-12-30 11:49:00
77,189302249,89456,38106088,720594,38106088720594,2969,89,9,2020-12-31 15:32:00
78,367677888,58586,97378430,298787,97378430298787,1958,76,5,2020-12-24 00:37:00
80,667521429,94616,85204151,750270,85204151750270,1361,45,9,2020-12-12 10:41:00
81,927929465,18474,28300853,666442,28300853666442,8376,13,3,2020-12-29 22:08:00
82,942807275,26956,62574546,804120,62574546804120,3041,34,2,2020-12-19 19:56:00
83,840781897,24531,43125330,341236,43125330341236,6726,51,5,2020-12-31 11:32:00
84,441301977,57619,30218996,816476,30218996816476,8448,37,5,2020-12-20 03:03:00
85,429294991,47866,-99999,-99999,,6837,32,6,2020-12-16 10:52:00
86,571817967,86327,57056887,243737,57056887243737,2622,22,7,2020-12-20 02:34:00
87,234713364,22339,19287562,326240,19287562326240,1413,27,8,2020-12-29 08:47:00
88,688653013,32823,52266198,214694,52266198214694,9649,16,9,2020-12-08 22:11:00
89,398964067,31515,88330880,273276,88330880273276,6633,16,4,2020-12-21 11:16:00
90,507542908,81312,47201257,876141,47201257876141,4336,70,6,2020-12-27 05:49:00
92,545867122,92652,83263978,886697,83263978886697,9260,84,5,2020-12-10 01:12:00
93,133940837,22066,25809060,493442,25809060493442,6408,53,6,2020-12-16 22:29:00
94,415852388,62894,92397701,821080,92397701821080,7779,96,8,2020-12-28 03:28:00
95,162820224,36959,35481558,841903,35481558841903,3945,37,8,2020-12-29 03:55:00
96,421433379,68539,92500015,221487,92500015221487,5491,87,4,2020-12-01 21:25:00
97,230978423,79808,34042817,151282,34042817151282,4349,58,2,2020-12-03 00:01:00
98,450579861,98136,91464728,272911,91464728272911,1680,92,9,2020-12-08 08:11:00
99,477053185,39677,64372698,012387,64372698012387,1342,74,9,2020-12-08 00:18:00
100,724993174,27088,25165801,572134,25165801572134,3873,35,3,2020-12-21 12:42:00
101,723164205,70151,54841420,573216,54841420573216,9991,58,4,2020-12-17 23:22:00
102,561891853,36563,-99999,-99999,,7662,93,2,2020-12-06 00:02:00
103,620659710,15686,97712628,876752,97712628876752,7731,73,4,2020-12-26 03:41:00
104,960077615,16031,21760622,392748,21760622392748,6987,77,5,2020-12-12 16:17:00
105,544752331,54113,14016268,389902,14016268389902,5563,27,7,2020-12-24 02:11:00
106,608911993,21531,22287499,678170,22287499678170,4281,27,6,2020-12-01 22:04:00
107,917471850,48654,85811976,052878,85811976052878,8397,56,1,2020-12-12 17:17:00
108,333897000,21223,53543536,611227,53543536611227,8533,14,4,2020-12-09 00:48:00
109,484515485,12048,48148933,695208,48148933695208,8338,56,3,2020-12-24 21:47:00
110,990447596,30977,42706484,515265,42706484515265,2674,79,8,2020-12-27 09:14:00
111,268808809,61907,46918430,643741,46918430643741,2146,69,3,2020-12-23 14:01:00
112,587323314,56400,34441050,662147,34441050662147,3407,11,1,2020-12-30 13:00:00
113,882778448,38599,41709802,849082,41709802849082,6684,64,3,2020-12-26 20:57:00
114,523057139,77667,29848098,564671,29848098564671,9695,34,7,2020-12-12 19:52:00
115,815557090,79347,60806920,208070,60806920208070,6281,71,6,2020-12-24 14:39:00
116,825973495,82693,23452628,358263,23452628358263,2447,90,3,2020-12-15 08:04:00
117,581621542,12778,44542637,501777,44542637501777,9380,11,8,2020-12-16 07:23:00
118,486242786,57337,75087503,420311,75087503420311,9358,95,2,2020-12-26 15:53:00
119,219809368,73682,94940792,654749,94940792654749,5746,91,9,2020-12-26 04:29:00
120,419678480,56634,29613578,905479,29613578905479,8411,87,4,2020-12-03 08:32:00
121,436929718,92371,18867628,358242,18867628358242,8241,54,2,2020-12-16 00:00:00
122,350094943,38166,50128656,464951,50128656464951,3868,16,1,2020-12-13 16:08:00
123,639968393,97139,84340819,671017,84340819671017,4028,19,8,2020-12-21 14:50:00
124,220600298,32620,77147732,437941,77147732437941,5293,40,1,2020-12-04 06:12:00
125,476439085,45395,41382144,264974,41382144264974,5258,82,5,2020-12-05 09:51:00
126,406736105,29357,70381831,306398,70381831306398,1689,53,4,2020-12-17 13:46:00
127,583702382,38698,47826140,779409,47826140779409,8084,81,7,2020-12-21 16:21:00
128,816542034,31994,16266790,565511,16266790565511,5858,98,1,2020-12-06 20:56:00
129,610396754,23687,91005919,785327,91005919785327,5351,73,9,2020-12-06 06:55:00
130,774672117,69462,46230122,263350,46230122263350,3481,95,5,2020-12-07 06:45:00
131,459503865,67140,71827881,015742,71827881015742,3786,57,2,2020-12-22 18:46:00
132,449673030,91177,14688683,192120,14688683192120,9363,37,1,2020-12-31 22:54:00
133,765040357,23579,94964043,656388,94964043656388,6110,18,2,2020-12-08 16:27:00
134,529741634,57192,98740413,313579,98740413313579,3125,13,4,2020-12-07 23:46:00
135,173781296,57944,40114944,187328,40114944187328,5816,97,3,2020-12-23 15:06:00
136,628434964,95864,71361557,246779,71361557246779,9672,84,6,2020-12-03 21:12:00
137,874150507,31017,76606183,871390,76606183871390,3882,41,8,2020-12-16 22:53:00
138,672861278,57478,70553857,856481,70553857856481,5614,22,7,2020-12-03 12:45:00
139,688535301,23109,53010347,698415,53010347698415,6193,54,3,2020-12-10 01:51:00
140,603757252,76816,30603038,450855,30603038450855,3321,16,7,2020-12-20 03:18:00
141,194656445,66514,64624009,960908,64624009960908,1330,32,6,2020-12-17 14:41:00
142,555100435,85472,85735184,501224,85735184501224,8547,68,3,2020-12-06 17:28:00
143,188313928,18719,71550288,265746,71550288265746,7333,60,1,2020-12-17 02:27:00
144,476367636,20714,37529924,062999,37529924062999,3289,30,1,2020-12-28 09:02:00
145,886602000,55820,57471682,573982,57471682573982,5585,69,2,2020-12-14 14:19:00
146,592371488,89911,25728722,882415,25728722882415,5175,95,9,2020-12-06 02:23:00
147,260257882,99312,27771164,403927,27771164403927,2057,94,2,2020-12-10 12:55:00
148,894900670,93037,95752258,818368,95752258818368,4071,52,1,2020-12-27 14:07:00
149,132155355,58043,96865740,649891,96865740649891,4311,88,4,2020-12-02 23:43:00
150,304455898,17317,34082044,079927,34082044079927,3947,92,2,2020-12-19 04:07:00
151,742078743,97275,69559361,160903,69559361160903,2291,50,4,2020-12-12 10:13:00
152,492348985,37512,64248854,591664,64248854591664,8708,58,7,2020-12-04 01:40:00
153,794367154,14741,45230271,958433,45230271958433,8060,47,2,2020-12-16 11:09:00
154,433436188,99528,37671391,700773,37671391700773,6625,43,4,2020-12-26 23:17:00
155,763692653,31960,28995507,903082,28995507903082,5690,28,1,2020-12-17 09:30:00
156,161032516,52099,16315167,112685,16315167112685,2515,19,5,2020-12-27 01:07:00
157,192238094,73780,13233540,938420,13233540938420,3879,16,1,2020-12-16 23:42:00
158,330466528,59227,22741102,201227,22741102201227,9307,40,9,2020-12-13 23:12:00
159,594407592,76464,33033057,118688,33033057118688,4171,73,2,2020-12-10 16:13:00
160,515259678,42511,38181534,009607,38181534009607,3129,88,8,2020-12-04 15:15:00
161,319674951,37794,56991117,273132,56991117273132,2669,92,9,2020-12-20 22:34:00
162,863629125,17811,86164309,158981,86164309158981,4928,35,3,2020-12-04 07:21:00
163,319190610,24749,30027522,047804,30027522047804,9330,46,5,2020-12-29 16:13:00
164,798096770,52849,44111603,138880,44111603138880,5036,44,6,2020-12-03 03:02:00
165,601343212,64349,42604284,521197,42604284521197,2205,33,9,2020-12-19 07:15:00
166,520072674,21046,77443719,633319,77443719633319,8890,14,3,2020-12-10 05:30:00
167,519877277,16847,71101352,724194,71101352724194,4620,45,3,2020-12-29 06:09:00
168,387414607,72712,54393317,995354,54393317995354,8478,36,2,2020-12-09 21:08:00
169,444869449,77873,56998890,981382,56998890981382,3699,73,3,2020-12-05 12:38:00
170,737102706,95520,34237823,363687,34237823363687,3000,25,7,2020-12-12 13:09:00
171,390471336,73321,77776916,620930,77776916620930,3327,30,9,2020-12-09 17:54:00
172,337234218,80559,86297520,294726,86297520294726,8030,19,6,2020-12-15 13:10:00
173,535075452,35426,85687848,716790,85687848716790,3124,32,4,2020-12-16 23:37:00
174,240395731,72338,29484988,053251,29484988053251,7226,94,1,2020-12-30 01:22:00
175,765984453,54260,71003726,862564,71003726862564,2502,47,3,2020-12-29 02:01:00
176,320637933,64755,51242118,738809,51242118738809,6705,55,8,2020-12-25 23:42:00
177,157521447,28833,36555800,970105,36555800970105,2573,77,4,2020-12-17 04:39:00
178,313331800,19094,62362474,692559,62362474692559,5183,73,7,2020-12-01 01:15:00
179,925159528,48033,56857351,607654,56857351607654,1400,13,8,2020-12-19 23:13:00
180,232538613,81567,43480822,278668,43480822278668,7894,51,1,2020-12-18 19:12:00
181,526546897,65298,60807871,524102,60807871524102,4512,21,5,2020-12-17 11:47:00
182,161206340,91537,52509136,756657,52509136756657,6798,60,4,2020-12-31 14:59:00
183,506681145,71994,95657287,068759,95657287068759,4129,99,1,2020-12-04 03:55:00
184,496292487,25918,82337448,313549,82337448313549,5851,67,2,2020-12-09 23:12:00
185,561290770,20549,20760688,121675,20760688121675,3019,43,1,2020-12-15 07:38:00
186,312069905,83262,92529766,527052,92529766527052,4273,44,7,2020-12-26 17:49:00
187,449151452,55186,21680473,352523,21680473352523,8187,57,7,2020-12-13 17:48:00
188,626602078,70609,95040877,605778,95040877605778,5401,72,8,2020-12-11 07:13:00
189,659804892,28490,89757717,027645,89757717027645,6174,27,2,2020-12-31 03:38:00
190,592692834,79314,93798961,254997,93798961254997,7330,58,8,2020-12-16 23:05:00
191,407028832,99494,76528609,535338,76528609535338,2118,67,8,2020-12-02 02:26:00
192,169638671,50470,58440572,755153,58440572755153,5721,45,5,2020-12-30 16:13:00
193,968033196,15869,19551514,617142,19551514617142,6298,51,5,2020-12-17 05:02:00
194,640591202,87224,86865353,719707,86865353719707,9812,24,8,2020-12-31 18:27:00
195,362048129,75396,62407423,226847,62407423226847,7392,75,5,2020-12-20 18:51:00
196,840806394,54950,51870673,773450,51870673773450,5465,77,9,2020-12-06 02:33:00
197,554532520,27091,73225074,534566,73225074534566,6852,62,9,2020-12-06 11:45:00
198,337591756,44080,21928286,254651,21928286254651,5205,15,3,2020-12-08 05:59:00
199,538021075,99745,99444165,511793,99444165511793,2892,21,6,2020-12-22 07:00:00
200,214143525,49480,82323564,183319,82323564183319,3974,51,5,2020-12-09 09:55:00
215,137475595,57325,34825993,249153,34825993249153,9204,82,9,2020-12-25 17:16:00
217,367751970,43324,28601840,405419,28601840405419,3328,14,8,2020-12-05 23:05:00
218,175011779,13963,12593502,388729,12593502388729,9130,17,4,2020-12-09 16:05:00
219,795186189,53142,18549025,039314,18549025039314,6824,17,5,2020-12-07 23:49:00
220,281719733,91447,24200151,385626,24200151385626,4648,88,7,2020-12-01 19:41:00
221,581633609,84678,20161963,743008,20161963743008,9227,20,4,2020-12-27 15:09:00
222,485042228,50075,-99999,-99999,,1833,13,2,2020-12-15 05:56:00
223,380359525,52662,43849096,796667,43849096796667,1734,83,9,2020-12-24 15:49:00
224,957854294,68548,96191773,995416,96191773995416,1368,98,4,2020-12-25 13:49:00
225,325699901,61233,48550835,966890,48550835966890,2244,54,9,2020-12-10 11:38:00
226,151797381,87335,98385544,965405,98385544965405,2560,24,3,2020-12-25 02:56:00
227,533551178,35572,29361437,810137,29361437810137,8816,52,3,2020-12-22 22:47:00
228,311224289,76851,71527497,312341,71527497312341,5607,43,4,2020-12-26 03:26:00
230,729860706,90557,-99999,-99999,,3868,87,6,2020-12-08 22:35:00
231,623261021,33623,82940729,616084,82940729616084,7530,46,1,2020-12-27 03:15:00
232,482613120,49501,63535118,203326,63535118203326,5352,87,3,2020-12-31 12:18:00
233,324948773,11650,80924339,902442,80924339902442,2446,19,,2020-12-01 02:16:00
234,221673055,84327,88671275,702204,88671275702204,5710,67,5,2020-12-13 21:39:00
235,697067929,21828,40045343,861457,40045343861457,1304,86,5,2020-12-09 20:21:00
236,894502786,35343,12836632,559472,12836632559472,9543,40,8,2020-12-13 22:58:00
237,710615784,58778,19790647,835581,19790647835581,9127,85,8,2020-12-06 02:37:00
238,432317309,70792,17332452,132714,17332452132714,6925,36,4,2020-12-17 21:39:00
239,571356082,96988,18127033,621310,18127033621310,6720,89,1,2020-12-05 09:43:00
241,372203840,50453,65352736,079041,65352736079041,3582,13,1,2020-12-23 08:31:00
242,574290263,55919,11611846,102554,11611846102554,6697,66,2,2020-12-12 00:23:00
244,383555897,68585,22078521,794519,22078521794519,3970,74,9,2020-12-21 22:07:00
245,922186136,72262,76543842,232089,76543842232089,6975,71,2,2020-12-23 02:32:00
246,852556498,41936,32767700,944614,32767700944614,2644,34,9,2020-12-04 18:06:00
249,655320996,47454,75073389,228195,75073389228195,1116,72,7,2020-12-12 21:25:00
250,521659695,55684,88306567,709636,88306567709636,8359,39,6,2020-12-04 09:36:00
251,205780774,77824,93365967,410151,93365967410151,2683,15,9,2020-12-31 17:04:00
252,323292918,53165,-99999,-99999,,9641,69,2,2020-12-03 16:13:00
253,472612037,87101,67833287,808941,67833287808941,4972,92,3,2020-12-06 01:16:00
254,214581239,23340,55145267,918647,55145267918647,3834,24,3,2020-12-04 02:40:00
255,116322813,50043,13396365,272428,13396365272428,4544,60,7,2020-12-31 00:21:00
256,841735203,50301,61210872,221405,61210872221405,7582,41,7,2020-12-04 19:30:00
257,483897486,36902,46273326,156916,46273326156916,5896,84,7,2020-12-19 14:50:00
258,319117560,89168,40731131,385458,40731131385458,2740,31,6,2020-12-03 01:36:00
259,936119427,39269,31517096,416669,31517096416669,5453,55,8,2020-12-04 13:57:00
260,897231071,90570,-99999,-99999,,9105,86,6,2020-12-21 15:47:00
261,784610253,44950,49966687,107838,49966687107838,6334,21,5,2020-12-23 06:13:00
262,694837528,73258,61979996,891611,61979996891611,7053,48,2,2020-12-04 02:05:00
263,598036092,36689,24358370,718723,24358370718723,7145,49,8,2020-12-20 04:32:00
265,658392799,68187,37355997,772351,37355997772351,8695,53,8,2020-12-04 23:20:00
266,373293716,24578,60505842,465331,60505842465331,6051,79,9,2020-12-08 18:52:00
267,167641524,64211,58011335,278069,58011335278069,9285,31,4,2020-12-26 11:04:00
268,815467021,35424,49058046,744293,49058046744293,9956,75,6,2020-12-12 00:36:00
269,335842093,49260,69183995,066054,69183995066054,9410,66,5,2020-12-14 21:07:00
270,289995591,54942,24406886,286843,24406886286843,5090,86,1,2020-12-24 08:21:00
271,341885417,13829,75547488,349992,75547488349992,9753,24,6,2020-12-15 22:28:00
272,438518053,90699,50529971,426651,50529971426651,1935,13,7,2020-12-10 01:01:00
273,649556306,37707,46773848,524624,46773848524624,8751,39,9,2020-12-22 06:23:00
274,262665766,64114,19197081,141157,19197081141157,5169,70,3,2020-12-17 06:49:00
275,758293840,58641,18350587,994455,18350587994455,7915,21,1,2020-12-19 23:47:00
276,582015072,36141,49506402,503996,49506402503996,1825,22,1,2020-12-22 07:11:00
277,148821589,54166,88465133,541069,88465133541069,5554,61,6,2020-12-04 21:21:00
278,873986249,77634,55275059,776411,55275059776411,2187,22,4,2020-12-22 03:14:00
279,309014585,58707,45370351,046732,45370351046732,2902,78,6,2020-12-07 08:43:00
280,558656824,75180,60421311,499665,60421311499665,3291,54,9,2020-12-27 21:44:00
281,117731497,49551,23115616,253505,23115616253505,6640,91,3,2020-12-22 10:59:00
282,194058933,62570,46761363,222936,46761363222936,7624,21,8,2020-12-05 20:52:00
283,486294671,34689,88452559,297241,88452559297241,4135,41,2,2020-12-07 12:33:00
284,685489362,39601,13830633,411107,13830633411107,6823,98,5,2020-12-29 19:02:00
285,505760906,95770,18630012,928219,18630012928219,4621,20,5,2020-12-02 00:07:00
286,187552645,47927,23666730,547915,23666730547915,4148,47,5,2020-12-13 17:31:00
287,348233953,35614,36609039,197399,36609039197399,9507,88,2,2020-12-28 10:56:00
288,422130967,46414,56546639,646239,56546639646239,5065,90,3,2020-12-07 06:06:00
289,468836757,12156,37923473,222193,37923473222193,8018,57,3,2020-12-02 17:07:00
290,299417119,59715,99347324,294387,99347324294387,9475,85,9,2020-12-30 10:02:00
291,737181216,31796,44800845,131007,44800845131007,7613,45,6,2020-12-22 17:58:00
292,669755267,96814,21890786,259480,21890786259480,7054,54,4,2020-12-09 05:56:00
293,342460096,29192,85514332,574476,85514332574476,5250,15,6,2020-12-19 10:54:00
294,252173082,92810,46153949,961917,46153949961917,4030,74,8,2020-12-27 01:19:00
295,994454402,56869,38945857,548433,38945857548433,4486,47,5,2020-12-19 17:08:00
296,396117594,61016,81600757,416425,81600757416425,1502,72,8,2020-12-20 12:12:00
297,177024319,11774,58580541,241899,58580541241899,3675,31,7,2020-12-09 20:35:00
298,655048710,94182,40697626,171894,40697626171894,8034,50,3,2020-12-07 21:53:00
299,603407202,80653,72745484,036787,72745484036787,4435,81,4,2020-12-12 07:20:00
300,885561653,49920,55694494,475995,55694494475995,3200,79,6,2020-12-13 05:05:00
301,523034364,67000,20991798,816443,20991798816443,7193,96,4,2020-12-31 09:41:00
302,374665428,15891,80752671,129769,80752671129769,7310,33,6,2020-12-01 15:55:00
303,527491626,40388,37475068,746191,37475068746191,3248,29,9,2020-12-01 05:11:00
304,144678172,98711,64952602,735253,64952602735253,9118,80,8,2020-12-14 08:58:00
305,785039149,54072,55680144,546280,55680144546280,7354,52,9,2020-12-28 15:12:00
306,936213604,78795,22273348,640972,22273348640972,1517,12,2,2020-12-26 15:24:00
307,525810688,52934,53698418,895136,53698418895136,8057,98,3,2020-12-02 13:14:00
308,833890174,97410,46728981,435296,46728981435296,8550,61,6,2020-12-28 11:07:00
310,372975795,31668,19149750,834265,19149750834265,4784,95,7,2020-12-24 20:48:00
311,535868513,41511,63368272,218508,63368272218508,7293,45,7,2020-12-11 01:52:00
312,307037866,62090,12646750,496966,12646750496966,1261,84,7,2020-12-07 02:57:00
314,327029931,19126,49070133,622067,49070133622067,1329,37,1,2020-12-10 20:08:00
315,729700630,92420,67489993,332607,67489993332607,7686,75,9,2020-12-29 10:58:00
316,942791946,17577,-99999,-99999,,4566,18,3,2020-12-12 09:52:00
317,684669666,78191,73372680,477426,73372680477426,9081,32,9,2020-12-14 21:56:00
318,244298047,93693,61073367,787715,61073367787715,5276,42,4,2020-12-23 12:50:00
319,521135055,78091,25418484,550397,25418484550397,8504,95,7,2020-12-21 19:25:00
320,652927575,14993,20004724,996849,20004724996849,4086,82,3,2020-12-04 01:46:00
321,673927682,76304,87664499,364062,87664499364062,9674,19,5,2020-12-20 06:05:00
322,260882755,77866,89265184,453857,89265184453857,7375,76,6,2020-12-19 21:04:00
323,432360190,42876,77726108,466815,77726108466815,4223,58,1,2020-12-17 08:13:00
324,311452997,23081,37247158,744870,37247158744870,4117,81,2,2020-12-31 20:25:00
325,777674361,69678,41510769,128288,41510769128288,3581,12,5,2020-12-23 02:34:00
326,837816847,64320,55003151,434837,55003151434837,5546,80,5,2020-12-06 09:34:00
327,234558672,58225,56579506,514966,56579506514966,8528,60,1,2020-12-09 03:54:00
328,163288099,15131,86353189,072038,86353189072038,4442,76,3,2020-12-01 20:07:00
329,888998561,36273,82111260,045070,82111260045070,2947,82,4,2020-12-28 07:43:00
330,175232378,96483,32610441,359275,32610441359275,5726,46,4,2020-12-26 12:43:00
331,449335424,91456,37400706,597021,37400706597021,4181,88,7,2020-12-09 03:14:00
332,262605622,26659,16363495,049894,16363495049894,3782,29,9,2020-12-20 10:34:00
333,818533084,63636,24388507,576173,24388507576173,6845,83,7,2020-12-19 04:39:00
334,975145638,27171,47710753,998496,47710753998496,3594,49,4,2020-12-15 19:24:00
335,529457071,97983,93633575,937626,93633575937626,9599,26,5,2020-12-14 00:19:00
336,730693544,79369,59945638,689705,59945638689705,2964,85,7,2020-12-11 13:11:00
337,345338047,97582,66791966,024928,66791966024928,7223,46,6,2020-12-05 00:33:00
338,203444980,83880,99657691,093312,99657691093312,8050,83,8,2020-12-01 05:19:00
339,987183512,43861,29585784,540984,29585784540984,6474,22,1,2020-12-26 12:41:00
340,952820853,37507,48985438,394935,48985438394935,8160,85,2,2020-12-13 18:43:00
341,778489910,56336,18728238,100790,18728238100790,9603,49,9,2020-12-01 07:22:00
342,369641151,17364,43180462,619221,43180462619221,5032,44,7,2020-12-06 12:24:00
343,997543989,51111,92520546,598359,92520546598359,2279,56,4,2020-12-03 15:25:00
344,530924090,58787,45932874,503033,45932874503033,8979,57,7,2020-12-05 10:48:00
345,947692319,16836,27171784,167859,27171784167859,7396,78,8,2020-12-11 02:01:00
346,927486261,63464,98794632,869814,98794632869814,2837,74,9,2020-12-05 09:16:00
347,328890348,19994,26142477,344809,26142477344809,4739,63,5,2020-12-23 00:45:00
348,981871863,30902,53380130,016928,53380130016928,8432,81,2,2020-12-13 13:17:00
349,811126208,31937,26937138,241703,26937138241703,8914,97,6,2020-12-16 00:45:00
350,425046013,81267,81521995,239442,81521995239442,1545,71,7,2020-12-23 11:38:00
351,236614151,27513,39161292,396154,39161292396154,3431,31,8,2020-12-17 18:44:00
352,889840279,28539,77916667,385055,77916667385055,7586,14,7,2020-12-01 06:37:00
353,218143951,82925,86817697,800800,86817697800800,8180,17,4,2020-12-11 22:04:00
354,738638504,40713,73067502,440613,73067502440613,4041,60,4,2020-12-04 04:24:00
355,466794846,76272,11658531,805042,11658531805042,8303,38,6,2020-12-02 08:09:00
356,829409338,12091,81183617,655909,81183617655909,1117,96,2,2020-12-13 17:04:00
357,752719261,35912,18743765,583404,18743765583404,2890,30,7,2020-12-19 19:35:00
358,652943557,94743,38414085,389953,38414085389953,9231,80,1,2020-12-31 17:19:00
359,226980218,95425,55004778,694457,55004778694457,2526,11,7,2020-12-07 08:06:00
360,244582975,99079,39141708,719763,39141708719763,7416,55,8,2020-12-15 01:44:00
361,529743795,56283,52648543,440056,52648543440056,7787,12,8,2020-12-18 19:57:00
362,423818087,47917,60009089,943184,60009089943184,7891,28,6,2020-12-23 20:24:00
363,458303716,41363,92012096,024265,92012096024265,3094,14,4,2020-12-16 08:32:00
364,401459405,51136,36600885,215393,36600885215393,3170,88,1,2020-12-28 17:59:00
365,662916455,23768,96630956,650735,96630956650735,2648,21,8,2020-12-25 22:25:00
366,927618994,99046,92493711,322546,92493711322546,8568,90,8,2020-12-18 23:54:00
367,664381183,22151,98464108,425091,98464108425091,3785,62,8,2020-12-12 06:07:00
